time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
234000,0.00100,0.00010,100,100,0,0.0100,0.86357375,1.37878047
235000,0.00100,0.00010,100,100,0,0.0100,0.85971345,1.38857919
236000,0.00100,0.00010,100,100,0,0.0100,0.85693055,1.38822861
237000,0.00100,0.00010,100,100,0,0.0100,0.86042348,1.38484354
238000,0.00100,0.00010,100,100,0,0.0100,0.85660056,1.38470069
239000,0.00100,0.00010,100,100,0,0.0100,0.85622271,1.38362380
240000,0.00100,0.00010,100,100,0,0.0100,0.85806681,1.38106148
241000,0.00100,0.00010,100,100,0,0.0100,0.85863615,1.38494394
242000,0.00100,0.00010,100,100,0,0.0100,0.85632576,1.39041277
243000,0.00100,0.00010,100,100,0,0.0100,0.85616480,1.38858798
244000,0.00100,0.00010,100,100,0,0.0100,0.85452322,1.39038284
245000,0.00100,0.00010,100,100,0,0.0100,0.85393079,1.39269571
246000,0.00100,0.00010,100,100,0,0.0100,0.85310016,1.39402297
247000,0.00100,0.00010,100,100,0,0.0100,0.85476378,1.39524304
248000,0.00100,0.00010,100,100,0,0.0100,0.85324554,1.39651247
249000,0.00100,0.00010,100,100,0,0.0100,0.85201689,1.39701083
250000,0.00100,0.00010,100,100,0,0.0100,0.84399309,1.39919835
251000,0.00100,0.00010,100,100,0,0.0100,0.84160671,1.39149508
252000,0.00100,0.00010,100,100,0,0.0100,0.83246352,1.39697492
253000,0.00100,0.00010,100,100,0,0.0100,0.83074778,1.40373149
254000,0.00100,0.00010,100,100,0,0.0100,0.83122298,1.40102860
255000,0.00100,0.00010,100,100,0,0.0100,0.83152780,1.40358140
256000,0.00100,0.00010,100,100,0,0.0100,0.82982875,1.40191828
257000,0.00100,0.00010,100,100,0,0.0100,0.82596488,1.40680692
258000,0.00100,0.00010,100,100,0,0.0100,0.82743919,1.39820644
259000,0.00100,0.00010,100,100,0,0.0100,0.82353957,1.40603138
260000,0.00100,0.00010,100,100,0,0.0100,0.82549026,1.39731571
261000,0.00100,0.00010,100,100,0,0.0100,0.82031250,1.40525123
262000,0.00100,0.00010,100,100,0,0.0100,0.81985418,1.40503702
263000,0.00100,0.00010,100,100,0,0.0100,0.81648206,1.40862057
264000,0.00100,0.00010,100,100,0,0.0100,0.81398084,1.41101965
265000,0.00100,0.00010,100,100,0,0.0100,0.81172623,1.41655354
266000,0.00100,0.00010,100,100,0,0.0100,0.81371980,1.41719089
267000,0.00100,0.00010,100,100,0,0.0100,0.81295432,1.41736960
268000,0.00100,0.00010,100,100,0,0.0100,0.81317540,1.41361862
269000,0.00100,0.00010,100,100,0,0.0100,0.81301709,1.41453669
270000,0.00100,0.00010,100,100,0,0.0100,0.80757240,1.41910970
271000,0.00100,0.00010,100,100,0,0.0100,0.80994647,1.41928163
272000,0.00100,0.00010,100,100,0,0.0100,0.80677473,1.42262381
273000,0.00100,0.00010,100,100,0,0.0100,0.80261100,1.43066732
274000,0.00100,0.00010,100,100,0,0.0100,0.80277892,1.42963886
275000,0.00100,0.00010,100,100,0,0.0100,0.80397276,1.42465947
276000,0.00100,0.00010,100,100,0,0.0100,0.80160922,1.42839763
277000,0.00100,0.00010,100,100,0,0.0100,0.79488873,1.43576385
278000,0.00100,0.00010,100,100,0,0.0100,0.79440558,1.43232982
279000,0.00100,0.00010,100,100,0,0.0100,0.78976250,1.43668102
280000,0.00100,0.00010,100,100,0,0.0100,0.78697290,1.44531129
281000,0.00100,0.00010,100,100,0,0.0100,0.78052895,1.45214014
282000,0.00100,0.00010,100,100,0,0.0100,0.78404237,1.43865667
283000,0.00100,0.00010,100,100,0,0.0100,0.78586827,1.44042719
284000,0.00100,0.00010,100,100,0,0.0100,0.78719296,1.43917564
285000,0.00100,0.00010,100,100,0,0.0100,0.78984991,1.43808126
286000,0.00100,0.00010,100,100,0,0.0100,0.78726009,1.44050931
287000,0.00100,0.00010,100,100,0,0.0100,0.78266236,1.45214498
288000,0.00100,0.00010,100,100,0,0.0100,0.78803505,1.44327373
